,location,total_sqft,bath,price,bhk
1631,Chikka Tirupathi,2325.0,3.0,95.0,3
1632,Chikka Tirupathi,2325.0,4.0,120.0,4
1633,Chikka Tirupathi,3250.0,4.0,136.0,4
1634,Chikka Tirupathi,2665.0,5.0,125.0,4
1635,Chikkabanavar,950.0,2.0,40.0,2
1636,Chikkabanavar,1600.0,2.0,80.0,3
1637,Chikkabanavar,600.0,1.0,25.0,2
1638,Chikkabanavar,2460.0,7.0,80.0,4
1639,Chikkabanavar,2400.0,4.0,97.0,5
1640,Chikkabanavar,2000.0,4.0,65.0,5
1641,Chikkabanavar,1067.0,2.0,38.0,2
1642,Chikkabanavar,1320.0,2.0,46.0,3
1643,Chikkabanavar,4000.0,7.0,110.0,8
1645,Chikkalasandra,1100.0,2.0,50.0,2
1646,Chikkalasandra,1208.0,2.0,49.0,2
1647,Chikkalasandra,875.0,2.0,52.8,2
1649,Chikkalasandra,1800.0,1.0,128.0,2
1650,Chikkalasandra,1070.0,2.0,50.0,2
1651,Chikkalasandra,1230.0,2.0,48.0,2
1652,Chikkalasandra,1428.0,2.0,80.0,3
1653,Chikkalasandra,1070.0,2.0,42.8,2
1657,Chikkalasandra,1075.0,2.0,46.76,2
1660,Chikkalasandra,1070.0,2.0,45.48,2
1661,Chikkalasandra,1100.0,2.0,50.0,2
1664,Chikkalasandra,1224.0,2.0,45.0,2
1665,Chikkalasandra,1090.0,2.0,47.42,2
1668,Chikkalasandra,1325.0,2.0,59.0,2
1669,Chikkalasandra,1290.0,2.0,72.0,2
1672,Choodasandra,1115.0,2.0,50.0,2
1673,Choodasandra,1300.0,2.0,57.0,2
1674,Choodasandra,1530.0,3.0,77.0,3
1677,Choodasandra,1197.0,2.0,63.0,2
1678,Choodasandra,1465.0,3.0,75.0,3
1679,Choodasandra,1115.0,2.0,50.0,2
1680,Choodasandra,1215.0,2.0,59.0,2
1681,Choodasandra,1254.0,2.0,65.0,3
1682,Choodasandra,1580.0,3.0,105.0,3
1683,Choodasandra,725.0,2.0,36.0,2
1684,Choodasandra,2429.0,3.0,210.0,4
1686,Choodasandra,1075.0,2.0,45.0,2
1687,Choodasandra,1180.0,2.0,71.22,2
1688,Choodasandra,1140.0,2.0,62.0,2
1690,Choodasandra,1560.0,3.0,78.0,3
1691,Choodasandra,1065.0,2.0,46.0,2
1692,Choodasandra,1115.0,2.0,50.0,2
1694,Choodasandra,1115.0,2.0,50.0,2
1695,Cooke Town,3950.0,4.0,450.0,4
1696,Cooke Town,2388.0,4.0,239.0,3
1697,Cooke Town,1710.0,2.0,200.0,2
1698,Cooke Town,1310.0,2.0,111.0,2
1699,Cooke Town,3900.0,5.0,415.0,4
1700,Cooke Town,2560.0,4.0,310.0,3
1701,Cooke Town,2600.0,3.0,375.0,3
1702,Cooke Town,1100.0,2.0,90.0,2
1703,Cooke Town,2300.0,3.0,250.0,3
1704,Cox Town,1975.0,3.0,150.0,3
1705,Cox Town,1650.0,3.0,100.0,3
1706,Cox Town,1730.0,3.0,140.0,3
1707,Cox Town,1600.0,3.0,150.0,3
1708,Cox Town,1250.0,2.0,95.0,2
1709,Cox Town,1280.0,2.0,120.0,2
1710,Cox Town,1073.0,2.0,72.0,2
1711,Cox Town,1000.0,2.0,58.0,2
1712,Cox Town,1200.0,2.0,140.0,2
1713,Cunningham Road,5270.0,4.0,1250.0,4
1714,Cunningham Road,3875.0,3.0,864.0,3
1715,Cunningham Road,3875.0,3.0,800.0,3
1716,Cunningham Road,3815.0,3.0,763.0,3
1717,Cunningham Road,2880.0,3.0,501.0,3
1718,Cunningham Road,3489.0,3.0,662.0,3
1719,Cunningham Road,4170.0,3.0,800.0,3
1721,Cunningham Road,2700.0,3.0,501.0,3
1722,Cunningham Road,7500.0,6.0,1800.0,4
1723,Cunningham Road,2880.0,3.0,560.0,3
1724,Dasanapura,708.0,2.0,37.0,2
1725,Dasanapura,708.0,1.0,40.0,2
1726,Dasanapura,965.0,2.0,42.5,2
1728,Dasanapura,814.0,2.0,42.0,2
1729,Dasanapura,1163.0,2.0,65.0,2
1730,Dasanapura,1286.0,2.0,68.0,3
1731,Dasanapura,708.0,2.0,31.15,2
1732,Dasanapura,708.0,1.0,41.0,1
1733,Dasanapura,814.0,2.0,43.7,2
1734,Dasarahalli,1295.0,2.0,65.0,2
1736,Dasarahalli,1150.0,2.0,70.0,2
1737,Dasarahalli,2100.0,3.0,120.0,3
1738,Dasarahalli,1220.0,2.0,52.0,2
1739,Dasarahalli,1375.0,2.0,60.0,2
1740,Dasarahalli,1333.0,2.0,78.56,2
1741,Dasarahalli,1220.0,2.0,62.0,2
1742,Devanahalli,3210.0,2.0,192.0,4
1743,Devanahalli,1260.0,2.0,66.78,2
1744,Devanahalli,1282.0,2.0,68.52,3
1745,Devanahalli,1360.0,2.0,65.0,2
1747,Devanahalli,1408.0,2.0,85.0,2
1748,Devanahalli,1010.0,2.0,51.0,2
1749,Devanahalli,1080.0,2.0,53.35,2
1750,Devanahalli,2400.0,5.0,100.0,5
1753,Devanahalli,1174.0,2.0,59.0,2
1754,Devanahalli,3752.5,2.0,177.115,2
1755,Devanahalli,658.0,1.0,34.0,1
1756,Devanahalli,658.0,1.0,26.91,1
1757,Devanahalli,698.5,1.0,28.57,1
1758,Devanahalli,1080.0,2.0,52.0,2
1759,Devanahalli,1700.0,3.0,88.2,3
1760,Devanahalli,1498.0,3.0,79.15,3
1761,Devanahalli,1466.0,3.0,77.59,3
1762,Devanahalli,775.0,1.0,39.0,1
1763,Devanahalli,1020.0,2.0,49.87,1
1765,Devanahalli,1550.0,3.0,85.0,3
1767,Devanahalli,1340.0,2.0,65.0,2
1768,Devanahalli,2125.0,3.0,107.0,3
1771,Devanahalli,658.0,1.0,26.91,1
1773,Devanahalli,1010.0,2.0,58.0,2
1776,Devanahalli,1075.0,2.0,52.57,1
1778,Devarachikkanahalli,1250.0,2.0,40.0,2
1779,Devarachikkanahalli,1200.0,2.0,83.0,2
1780,Devarachikkanahalli,1170.0,2.0,40.0,2
1781,Devarachikkanahalli,615.0,1.0,24.0,1
1782,Devarachikkanahalli,1230.0,2.0,58.0,2
1783,Devarachikkanahalli,1425.0,2.0,65.0,3
1784,Devarachikkanahalli,947.0,2.0,43.0,2
1785,Devarachikkanahalli,1130.0,2.0,36.0,2
1786,Devarachikkanahalli,1417.0,2.0,76.0,3
1787,Devarachikkanahalli,1230.0,2.0,58.0,2
1788,Devarachikkanahalli,1705.0,3.0,75.0,3
1789,Devarachikkanahalli,1116.0,2.0,47.0,2
1790,Devarachikkanahalli,991.0,2.0,40.0,2
1792,Dodda Nekkundi,1260.0,2.0,55.0,2
1793,Dodda Nekkundi,850.0,2.0,28.0,2
1794,Dodda Nekkundi,1390.0,2.0,60.0,2
1795,Dodda Nekkundi,1804.0,3.0,121.0,3
1796,Dodda Nekkundi,1080.0,2.0,50.0,2
1797,Dodda Nekkundi,1999.0,3.0,132.0,3
1798,Dodda Nekkundi,1100.0,2.0,48.0,2
1799,Dodda Nekkundi,1999.0,3.0,135.0,3
1800,Dodda Nekkundi,1100.0,2.0,41.15,2
1801,Dodda Nekkundi,1252.0,2.0,71.0,3
1802,Dodda Nekkundi,1155.0,2.0,46.0,2
1803,Dodda Nekkundi,1128.0,2.0,45.0,2
1804,Dodda Nekkundi,1148.0,2.0,56.0,2
1806,Dodda Nekkundi,1145.0,2.0,46.5,2
1807,Dodda Nekkundi,1829.0,3.0,125.0,3
1808,Dodda Nekkundi,1100.0,2.0,41.16,2
1809,Dodda Nekkundi,1100.0,2.0,46.75,2
1810,Dodda Nekkundi,1315.0,2.0,50.0,2
1811,Dodda Nekkundi,1135.0,2.0,58.0,2
1812,Dodda Nekkundi,1100.0,2.0,41.18,2
1813,Dodda Nekkundi,1370.0,2.0,60.0,2
1814,Dodda Nekkundi,1200.0,2.0,71.0,2
1815,Dodda Nekkundi,1585.0,2.0,79.0,3
1816,Dodda Nekkundi,1005.0,2.0,45.0,2
1817,Dodda Nekkundi,1264.0,2.0,52.0,2
1818,Doddaballapur,1690.0,3.0,80.0,4
1819,Doddaballapur,4200.0,4.0,325.0,4
1820,Doddaballapur,3876.0,3.0,300.0,3
1821,Doddaballapur,2776.0,4.0,195.0,3
1822,Doddaballapur,1100.0,2.0,48.0,3
1823,Doddaballapur,2440.0,3.0,142.0,3
1824,Doddaballapur,2400.0,3.0,200.0,4
1825,Doddaballapur,654.0,1.0,49.0,1
1826,Doddaballapur,3206.0,5.0,270.0,4
1827,Doddakallasandra,1010.0,2.0,40.39,2
1832,Doddakallasandra,1010.0,2.0,40.39,2
1833,Doddakallasandra,1072.0,2.0,42.87,2
1834,Doddakallasandra,1010.0,2.0,40.4,2
1835,Doddakallasandra,1010.0,2.0,41.0,2
1836,Doddakallasandra,1072.0,2.0,42.87,2
1837,Doddathoguru,970.0,2.0,33.0,2
1838,Doddathoguru,1050.0,2.0,32.0,2
1839,Doddathoguru,850.0,2.0,25.0,2
1840,Doddathoguru,1030.0,2.0,42.0,2
1841,Doddathoguru,1549.0,3.0,65.0,3
1843,Doddathoguru,550.0,1.0,17.0,1
1844,Doddathoguru,1015.0,2.0,33.5,2
1845,Doddathoguru,1104.0,2.0,39.0,2
1846,Doddathoguru,915.0,2.0,32.0,2
1847,Doddathoguru,750.0,1.0,25.5,1
1848,Doddathoguru,1595.0,3.0,62.0,3
1849,Doddathoguru,855.0,2.0,32.0,2
1850,Doddathoguru,1105.0,2.0,50.0,2
1851,Doddathoguru,925.0,2.0,30.0,2
1853,Doddathoguru,1208.0,3.0,45.0,3
1854,Doddathoguru,1100.0,2.0,50.0,2
1855,Doddathoguru,940.0,2.0,32.9,2
1856,Doddathoguru,1382.0,3.0,65.0,3
1857,Doddathoguru,1107.0,2.0,44.0,2
1858,Doddathoguru,907.0,2.0,40.0,2
1859,Doddathoguru,1783.0,3.0,85.0,3
1860,Doddathoguru,550.0,1.0,17.0,1
1861,Domlur,1540.0,3.0,90.0,3
1862,Domlur,1875.0,2.0,150.0,3
1863,Domlur,1429.0,3.0,86.0,3
1864,Domlur,640.0,1.0,55.0,1
1865,Domlur,1050.0,2.0,85.0,2
1866,Domlur,1800.0,3.0,150.0,3
1867,Domlur,1720.0,3.0,135.0,3
1868,Domlur,1950.0,3.0,165.0,3
1869,Domlur,2180.0,3.0,285.0,3
1870,Domlur,650.0,1.0,70.0,1
1871,Domlur,780.0,1.0,70.0,1
1872,Domlur,2180.0,3.0,285.0,3
1873,Domlur,1740.0,3.0,120.0,3
1874,Domlur,1695.0,3.0,125.0,3
1875,Domlur,1246.0,2.0,95.0,2
1876,Domlur,2100.0,3.0,145.0,3
1877,Domlur,1276.0,2.0,80.0,2
1878,Domlur,1850.0,3.0,180.0,3
1879,Domlur,2955.0,3.0,235.0,3
1880,Domlur,1650.0,3.0,180.0,3
1881,Dommasandra,805.0,2.0,22.14,2
1883,Dommasandra,1267.0,3.0,56.0,3
1884,Dommasandra,1200.0,2.0,50.0,2
1885,Dommasandra,2700.0,3.0,68.0,4
1887,Dommasandra,1153.0,2.0,43.5,2
1888,Dommasandra,1500.0,2.0,40.0,2
1889,Dommasandra,1090.0,2.0,43.5,2
1890,Dommasandra,850.0,2.0,25.4,2
1891,Dommasandra,674.0,1.0,19.9,2
1892,Dommasandra,999.0,2.0,32.9,2
1893,EPIP Zone,1499.0,5.0,102.0,3
1894,EPIP Zone,1285.0,2.0,82.0,2
1895,EPIP Zone,2330.0,3.0,162.0,3
1896,EPIP Zone,1330.0,2.0,92.5,2
1897,EPIP Zone,1330.0,2.0,86.98,2
1898,EPIP Zone,1330.0,2.0,93.36,2
1900,EPIP Zone,1500.0,3.0,102.0,3
1901,EPIP Zone,1280.0,2.0,69.0,2
1902,EPIP Zone,1125.0,2.0,65.0,2
1903,EPIP Zone,1734.0,3.0,125.0,3
1905,EPIP Zone,1343.0,2.0,86.0,2
1906,EPIP Zone,2350.0,4.0,163.0,3
1907,EPIP Zone,1860.0,3.0,130.0,3
1908,EPIP Zone,2210.0,3.0,165.0,3
1909,EPIP Zone,2710.0,3.0,177.0,3
1912,Electronic City,1025.0,2.0,47.0,3
1915,Electronic City,1500.0,2.0,64.5,3
1916,Electronic City,1060.0,2.0,60.0,2
1917,Electronic City,1152.0,2.0,64.5,2
1919,Electronic City,770.0,1.0,36.0,2
1920,Electronic City,1070.0,2.0,52.0,2
1921,Electronic City,1025.0,2.0,46.0,2
1922,Electronic City,589.0,1.0,27.0,1
1924,Electronic City,910.0,2.0,40.0,2
1925,Electronic City,1108.0,2.0,63.0,2
1926,Electronic City,1128.0,2.0,65.0,2
1927,Electronic City,1800.0,3.0,95.0,3
1928,Electronic City,630.0,1.0,34.65,1
1929,Electronic City,1128.0,2.0,63.0,2
1930,Electronic City,1599.0,3.0,99.0,3
1933,Electronic City,1070.0,2.0,55.0,2
1934,Electronic City,940.0,2.0,41.0,2
1936,Electronic City,1128.0,2.0,68.75,2
1937,Electronic City,1342.0,2.0,73.3,2
1938,Electronic City,1360.0,2.0,71.0,3
1940,Electronic City,1265.0,2.0,56.93,2
1941,Electronic City,1691.0,2.0,102.0,3
1942,Electronic City,1128.0,2.0,65.49,2
1945,Electronic City,1070.0,2.0,56.1,2
1946,Electronic City,2000.0,4.0,120.0,4
1947,Electronic City,890.0,2.0,45.0,2
1948,Electronic City,1128.0,2.0,65.65,2
1949,Electronic City,865.0,2.0,42.0,2
1951,Electronic City,910.0,2.0,42.0,2
1953,Electronic City,1360.0,2.0,75.0,3
1954,Electronic City,770.0,1.0,40.0,2
1955,Electronic City,1128.0,2.0,64.0,2
1956,Electronic City,1070.0,2.0,54.0,2
1958,Electronic City,1571.0,3.0,89.0,3
1959,Electronic City,1111.0,3.0,50.0,3
1960,Electronic City,870.0,2.0,39.5,2
1962,Electronic City,1374.0,2.0,72.0,3
1964,Electronic City,1128.0,2.0,65.35,2
1965,Electronic City,1128.0,2.0,65.0,2
1966,Electronic City,755.0,1.0,34.0,2
1970,Electronic City,1563.0,3.0,91.84,3
1971,Electronic City,1652.0,3.0,70.0,3
1973,Electronic City,1025.0,2.0,54.5,2
1975,Electronic City,1350.0,3.0,58.0,3
1978,Electronic City,1700.0,3.0,75.0,3
1980,Electronic City,1128.0,2.0,68.0,2
1981,Electronic City,700.0,1.0,35.0,1
1982,Electronic City,1360.0,2.0,70.5,3
1984,Electronic City,1571.0,3.0,105.0,3
1988,Electronic City,1600.0,3.0,104.0,3
1990,Electronic City,1500.0,2.0,100.0,3
1994,Electronic City,1152.0,2.0,65.0,2
1995,Electronic City,1070.0,2.0,60.0,2
1996,Electronic City,1128.0,2.0,65.5,2
1997,Electronic City,1200.0,2.0,59.0,2
1998,Electronic City,1152.0,2.0,65.75,2
2000,Electronic City,1070.0,2.0,55.0,2
2001,Electronic City,1060.0,2.0,58.0,2
2002,Electronic City,1025.0,2.0,54.1,2
2007,Electronic City,1500.0,2.0,78.0,3
2008,Electronic City,1213.0,2.0,59.32,2
2009,Electronic City,1575.0,3.0,90.0,3
2010,Electronic City,435.0,1.0,19.5,1
2011,Electronic City,1449.0,3.0,100.0,3
2013,Electronic City,1125.0,2.0,58.0,2
2015,Electronic City,1575.0,3.0,101.0,3
2017,Electronic City,550.0,1.0,12.0,1
2018,Electronic City,919.0,2.0,40.0,2
2019,Electronic City,1500.0,2.0,78.25,3
2020,Electronic City,1363.0,2.0,79.0,2
2023,Electronic City,1108.0,2.0,67.15,2
2025,Electronic City,1128.0,2.0,65.7,2
2027,Electronic City,1060.0,2.0,51.0,2
2029,Electronic City,1650.0,3.0,100.0,3
2031,Electronic City,1025.0,2.0,49.0,2
2033,Electronic City,1449.0,3.0,90.0,3
2035,Electronic City,1070.0,2.0,58.0,2
2036,Electronic City,1210.0,2.0,54.0,2
2037,Electronic City,1500.0,2.0,75.0,3
2039,Electronic City,1070.0,2.0,52.0,2
2040,Electronic City,2435.0,4.0,119.0,4
2045,Electronic City,1073.0,2.0,60.0,2
2046,Electronic City,1500.0,2.0,78.0,3
2047,Electronic City,1070.0,2.0,47.0,2
2048,Electronic City,1296.0,2.0,65.0,2
2049,Electronic City,1140.0,2.0,70.93,2
2055,Electronic City,2093.0,4.0,104.0,4
2056,Electronic City,1025.0,2.0,53.9,2
2057,Electronic City,940.0,2.0,54.0,2
2058,Electronic City,435.0,1.0,21.0,1
2059,Electronic City,1500.0,2.0,77.5,3
2060,Electronic City,1631.0,3.0,80.0,3
2061,Electronic City,1355.0,2.0,67.0,2
2064,Electronic City,435.0,1.0,22.0,1
2066,Electronic City,1039.0,2.0,50.0,2
2067,Electronic City,770.0,1.0,39.9,2
2069,Electronic City,1128.0,2.0,64.0,2
2070,Electronic City,605.0,1.0,13.31,1
2072,Electronic City,530.0,1.0,13.5,1
2073,Electronic City,1070.0,2.0,53.0,2
2076,Electronic City,1571.0,3.0,83.0,3
2078,Electronic City,1350.0,3.0,66.0,3
2079,Electronic City,1652.0,3.0,110.0,3
2083,Electronic City,1128.0,2.0,65.58,2
2084,Electronic City,635.0,1.0,28.0,1
2085,Electronic City,1128.0,2.0,65.4,2
2088,Electronic City,1355.0,2.0,72.9,2
2092,Electronic City,770.0,1.0,35.0,2
2094,Electronic City,865.0,2.0,40.0,2
2097,Electronic City,1108.0,2.0,63.0,2
2098,Electronic City,630.0,1.0,40.5,1
2101,Electronic City,605.0,1.0,22.0,1
2103,Electronic City,1070.0,2.0,48.0,2
2105,Electronic City,1360.0,2.0,70.0,3
2106,Electronic City,635.0,1.0,28.0,1
2107,Electronic City,1128.0,2.0,65.45,2
2108,Electronic City,890.0,2.0,40.0,2
2113,Electronic City,1360.0,2.0,58.0,3
2116,Electronic City,630.0,1.0,33.7,1
2120,Electronic City,1400.0,3.0,90.0,3
2121,Electronic City,1287.0,3.0,55.0,3
2122,Electronic City,1258.0,2.0,85.5,2
2123,Electronic City,1386.0,2.0,85.0,2
2124,Electronic City,550.0,1.0,27.0,1
2125,Electronic City,1025.0,2.0,50.0,2
2127,Electronic City,1070.0,2.0,55.0,2
2128,Electronic City,1342.0,2.0,72.0,2
2129,Electronic City,1275.0,3.0,70.0,3
2130,Electronic City,770.0,1.0,38.0,2
2135,Electronic City,1644.0,3.0,92.59,3
2136,Electronic City,1250.0,2.0,62.0,2
2139,Electronic City,418.0,1.0,12.0,1
2140,Electronic City,1128.0,2.0,64.8,2
2143,Electronic City,1060.0,2.0,55.0,2
2144,Electronic City,710.0,1.0,40.42,1
2147,Electronic City,1275.0,3.0,63.43,3
2148,Electronic City,1518.0,3.0,75.0,3
2149,Electronic City,1090.0,2.0,31.48,1
2152,Electronic City,1060.0,2.0,55.0,2
2154,Electronic City,1353.0,2.0,75.0,2
2156,Electronic City,1128.0,2.0,67.0,2
2157,Electronic City,1070.0,2.0,57.0,2
2158,Electronic City,1700.0,3.0,90.0,3
2160,Electronic City,750.0,1.0,35.0,1
2161,Electronic City,1210.0,2.0,55.0,2
2162,Electronic City,1070.0,2.0,60.0,2
2167,Electronic City,1615.0,3.0,97.0,3
2169,Electronic City,1221.0,2.0,68.0,2
2171,Electronic City,1500.0,3.0,73.0,3
2172,Electronic City,995.0,2.0,48.0,2
2173,Electronic City,1342.0,2.0,90.0,2
2175,Electronic City,1128.0,2.0,63.5,2
2176,Electronic City,589.0,1.0,29.0,1
2179,Electronic City,1575.0,3.0,94.5,3
2180,Electronic City,1070.0,2.0,48.0,2
2181,Electronic City,1025.0,2.0,54.0,2
2182,Electronic City,1500.0,2.0,70.0,3
2183,Electronic City,1500.0,2.0,64.5,3
2185,Electronic City,2093.0,4.0,134.0,4
2187,Electronic City,1355.0,2.0,73.0,2
2188,Electronic City,1360.0,2.0,64.99,3
2189,Electronic City,1060.0,2.0,52.0,2
2190,Electronic City Phase II,1056.0,2.0,39.07,2
2191,Electronic City Phase II,1020.0,2.0,30.6,2
2192,Electronic City Phase II,1069.0,2.0,45.0,2
2193,Electronic City Phase II,630.0,1.0,28.35,1
2195,Electronic City Phase II,1000.0,2.0,25.0,2
2196,Electronic City Phase II,1090.0,2.0,28.34,2
2197,Electronic City Phase II,2225.0,4.0,98.88,4
2199,Electronic City Phase II,775.0,2.0,38.0,2
2200,Electronic City Phase II,1266.0,2.0,59.0,2
2201,Electronic City Phase II,1000.0,2.0,28.88,2
2204,Electronic City Phase II,972.0,2.0,44.0,2
2206,Electronic City Phase II,1031.0,2.0,55.0,2
2207,Electronic City Phase II,1003.0,2.0,40.6,2
2208,Electronic City Phase II,1031.0,2.0,56.35,2
2210,Electronic City Phase II,1395.0,2.0,62.78,3
2211,Electronic City Phase II,1160.0,2.0,33.5,2
2212,Electronic City Phase II,1065.0,2.0,30.75,2
2213,Electronic City Phase II,1219.0,2.0,61.25,2
2215,Electronic City Phase II,1000.0,2.0,28.88,2
2216,Electronic City Phase II,1790.0,3.0,100.0,3
2217,Electronic City Phase II,769.0,2.0,40.0,2
2219,Electronic City Phase II,900.0,2.0,32.5,2
2222,Electronic City Phase II,993.0,2.0,50.0,3
2223,Electronic City Phase II,1418.0,3.0,52.47,3
2224,Electronic City Phase II,1070.0,2.0,45.0,2
2227,Electronic City Phase II,1140.0,2.0,33.06,2
2228,Electronic City Phase II,1089.0,2.0,32.67,2
2229,Electronic City Phase II,1031.0,2.0,55.0,2
2230,Electronic City Phase II,1253.0,2.0,65.8,2
2232,Electronic City Phase II,1160.0,2.0,33.5,2
2233,Electronic City Phase II,975.0,2.0,45.0,3
2234,Electronic City Phase II,6000.0,4.0,260.0,4
2235,Electronic City Phase II,1116.0,2.0,37.0,2
2236,Electronic City Phase II,1125.0,2.0,29.25,2
2237,Electronic City Phase II,1000.0,2.0,28.88,2
2238,Electronic City Phase II,1000.0,2.0,28.88,2
2239,Electronic City Phase II,1000.0,2.0,28.88,2
2240,Electronic City Phase II,1165.0,2.0,30.29,2
2241,Electronic City Phase II,3550.0,2.0,167.5,4
2242,Electronic City Phase II,1031.0,2.0,53.0,2
2244,Electronic City Phase II,1065.0,2.0,30.88,2
2246,Electronic City Phase II,1549.0,3.0,80.0,3
2247,Electronic City Phase II,1065.0,2.0,56.13,2
2249,Electronic City Phase II,920.0,2.0,26.0,2
2250,Electronic City Phase II,1140.0,2.0,33.84,2
2251,Electronic City Phase II,1219.0,2.0,61.26,2
2252,Electronic City Phase II,1252.0,2.0,65.0,3
2253,Electronic City Phase II,1125.0,2.0,32.49,2
2255,Electronic City Phase II,1286.0,2.0,69.0,2
2257,Electronic City Phase II,1140.0,2.0,32.92,2
2258,Electronic City Phase II,1116.0,2.0,40.0,2
2259,Electronic City Phase II,1150.0,3.0,46.0,3
2260,Electronic City Phase II,1192.0,2.0,47.0,3
2262,Electronic City Phase II,1020.0,2.0,32.0,2
2263,Electronic City Phase II,1900.0,3.0,97.0,4
2264,Electronic City Phase II,1020.0,2.0,27.43,2
2265,Electronic City Phase II,1025.0,2.0,26.65,2
2266,Electronic City Phase II,1020.0,2.0,29.45,2
2267,Electronic City Phase II,1000.0,2.0,28.88,2
2269,Electronic City Phase II,1140.0,2.0,28.5,2
2270,Electronic City Phase II,1125.0,2.0,32.49,2
2271,Electronic City Phase II,1200.0,2.0,34.65,2
2272,Electronic City Phase II,1160.0,2.0,52.2,2
2273,Electronic City Phase II,1244.0,2.0,55.0,2
2274,Electronic City Phase II,1160.0,2.0,33.51,2
2277,Electronic City Phase II,972.0,2.0,40.0,2
2278,Electronic City Phase II,1160.0,2.0,33.51,2
2280,Electronic City Phase II,1090.0,2.0,31.48,2
2281,Electronic City Phase II,1140.0,2.0,32.92,2
2282,Electronic City Phase II,650.0,1.0,35.0,1
2283,Electronic City Phase II,1155.0,2.0,57.0,2
2284,Electronic City Phase II,1800.0,3.0,92.0,3
2285,Electronic City Phase II,1300.0,2.0,28.0,2
2286,Electronic City Phase II,1160.0,2.0,33.5,2
2287,Electronic City Phase II,1025.0,2.0,29.6,2
2288,Electronic City Phase II,829.0,2.0,22.8,2
2289,Electronic City Phase II,2187.5,4.0,105.0,4
2290,Electronic City Phase II,1252.0,2.0,67.0,2
2292,Electronic City Phase II,1125.0,2.0,32.63,2
2293,Electronic City Phase II,1140.0,2.0,34.0,2
2296,Electronic City Phase II,1252.0,2.0,65.0,3
2297,Electronic City Phase II,1135.0,2.0,46.0,2
2298,Electronic City Phase II,1305.0,3.0,65.0,3
2299,Electronic City Phase II,1165.0,2.0,33.64,2
2301,Electronic City Phase II,1336.0,2.0,50.35,3
2302,Electronic City Phase II,575.0,1.0,16.75,1
2303,Electronic City Phase II,925.0,2.0,49.82,3
2304,Electronic City Phase II,1065.0,2.0,30.76,2
2305,Electronic City Phase II,1065.0,2.0,30.75,2
2306,Electronic City Phase II,1140.0,2.0,33.06,2
2307,Electronic City Phase II,911.0,2.0,26.5,2
2308,Electronic City Phase II,1200.0,2.0,34.65,2
2309,Electronic City Phase II,1031.0,2.0,54.48,2
2313,Electronics City Phase 1,1475.0,3.0,78.29,3
2314,Electronics City Phase 1,1490.0,3.0,78.8,3
2315,Electronics City Phase 1,1113.27,2.0,53.0,2
2316,Electronics City Phase 1,1490.0,3.0,84.0,3
2323,Electronics City Phase 1,1015.0,2.0,56.0,2
2325,Electronics City Phase 1,1515.0,2.0,80.91,3
2326,Electronics City Phase 1,995.0,2.0,46.0,2
2327,Electronics City Phase 1,1555.0,2.0,82.0,3
2328,Electronics City Phase 1,1340.0,2.0,75.0,2
2329,Electronics City Phase 1,1124.0,2.0,55.0,3
2330,Electronics City Phase 1,1175.0,2.0,57.0,2
2331,Electronics City Phase 1,755.0,1.0,42.41,1
2332,Electronics City Phase 1,580.0,1.0,27.0,1
2333,Electronics City Phase 1,940.0,2.0,49.0,2
2334,Electronics City Phase 1,1335.0,2.0,67.0,2
2335,Electronics City Phase 1,1113.12,2.0,55.0,2
2337,Electronics City Phase 1,1350.0,3.0,71.0,3
2339,Electronics City Phase 1,995.0,2.0,49.8,2
2340,Electronics City Phase 1,635.0,1.0,26.0,1
2341,Electronics City Phase 1,1190.0,2.0,68.0,2
2343,Electronics City Phase 1,1450.0,3.0,72.54,3
2344,Electronics City Phase 1,360.0,1.0,16.9,1
2345,Electronics City Phase 1,638.0,1.0,32.0,1
2346,Electronics City Phase 1,1175.0,2.0,64.98,2
2347,Electronics City Phase 1,585.0,1.0,21.0,1
2348,Electronics City Phase 1,1200.0,2.0,59.76,2
2349,Electronics City Phase 1,1145.0,2.0,54.0,2
2350,Electronics City Phase 1,1125.0,2.0,65.0,2
2352,Electronics City Phase 1,1550.0,2.0,82.0,3
2354,Electronics City Phase 1,865.0,2.0,40.0,2
2358,Electronics City Phase 1,1800.0,3.0,93.0,3
2359,Electronics City Phase 1,1314.0,2.0,60.0,2
2360,Electronics City Phase 1,1170.0,2.0,62.0,2
2361,Electronics City Phase 1,1450.0,3.0,79.0,3
2362,Electronics City Phase 1,940.0,2.0,48.0,2
2363,Electronics City Phase 1,940.0,2.0,44.0,2
2364,Electronics City Phase 1,1300.0,2.0,67.0,2
2365,Electronics City Phase 1,1028.0,2.0,51.0,2
2367,Electronics City Phase 1,1205.0,2.0,60.0,2
2369,Electronics City Phase 1,1305.0,2.0,67.0,2
2370,Electronics City Phase 1,755.0,1.0,30.12,1
2371,Electronics City Phase 1,1175.0,2.0,60.0,2
2372,Frazer Town,1700.0,3.0,180.0,3
2373,Frazer Town,1305.0,3.0,95.45,3
2374,Frazer Town,1870.0,3.0,185.0,3
2375,Frazer Town,1750.0,3.0,150.0,3
2377,Frazer Town,2000.0,3.0,200.0,3
2378,Frazer Town,3500.0,4.0,330.0,3
2379,Frazer Town,2350.0,4.0,285.0,3
2380,Frazer Town,1550.0,2.0,140.0,2
2381,Frazer Town,1900.0,4.0,145.0,3
2382,Frazer Town,2560.0,3.0,265.0,3
